id,norm_tab,num_rows,num_columns,total_cells,columns,num_column_items,total_column_cells
nu-0,"[['rank', 'team', 'time', 'uci_protour_points', 'cyclist_name', 'country'], ['1', ""caisse d'epargne"", '5h 29\' 10""', '40', 'alejandro valverde', 'esp'], ['2', 'team csc saxo bank', 's.t.', '30', 'alexandr kolobnev', 'rus'], ['3', 'gerolsteiner', 's.t.', '25', 'davide rebellin', 'ita'], ['4', 'quick step', 's.t.', '20', 'paolo bettini', 'ita'], ['5', 'liquigas', 's.t.', '15', 'franco pellizotti', 'ita'], ['6', 'rabobank', 's.t.', '11', 'denis menchov', 'rus'], ['7', 'euskaltel-euskadi', 's.t.', '7', 'samuel sánchez', 'esp'], ['8', 'ag2r-la mondiale', '+ 2""', '5', 'stéphane goubert', 'fra'], ['9', 'euskaltel-euskadi', '+ 2""', '3', 'haimar zubeldia', 'esp'], ['10', 'cofidis', '+ 2""', '1', 'david moncoutié', 'fra']]",10,6,60, ['cyclist'],1,10
nu-1,"[['category', 'year', 'casualties'], ['direct war losses', '1939_40', 360000], ['direct war losses', '1944_45', 183000], ['murdered', '1939_40', 75000], ['murdered', '1940_41', 100000], ['murdered', '1941_42', 116000], ['murdered', '1942_43', 133000], ['murdered', '1943_44', 82000], ['murdered', '1944_45', 0], ['deaths in prisons & camps', '1939_40', 69000], ['deaths in prisons & camps', '1940_41', 210000], ['deaths in prisons & camps', '1941_42', 220000], ['deaths in prisons & camps', '1942_43', 266000], ['deaths in prisons & camps', '1943_44', 381000], ['deaths in prisons & camps', '1944_45', 0], ['deaths outside of prisons & camps', '1940_41', 42000], ['deaths outside of prisons & camps', '1941_42', 71000], ['deaths outside of prisons & camps', '1942_43', 142000], ['deaths outside of prisons & camps', '1943_44', 218000], ['deaths outside of prisons & camps', '1944_45', 0], ['murdered in eastern regions', '1944_45', 100000], ['deaths other countries', '1944_45', 2000], ['total', '1939_40', 504000], ['total', '1940_41', 352000], ['total', '1941_42', 407000], ['total', '1942_43', 541000], ['total', '1943_44', 681000], ['total', '1944_45', 270000]]",27,3,81," ['description_losses', '1939_40', '1940_41', '1941_42', '1942_43', '1943_44', '1944_45', 'total']",8,216
nu-2,"[['year', 'division', 'league', 'playoffs', 'reg_season_position', 'reg_season_year', 'national_cup_result'], ['1931', '1', 'asl', 'no playoff', '6th', 'fall', ''], ['spring 1932', '1', 'asl', 'no playoff', '5th', '', '1st round'], ['fall 1932', '1', 'asl', 'no playoff', '3rd', '', ''], ['spring 1933', '1', 'asl', '?', '', '', 'final'], ['1933/34', 'n/a', 'asl', 'no playoff', '2nd', '', ''], ['1934/35', 'n/a', 'asl', 'no playoff', '2nd', '', ''], ['1935/36', 'n/a', 'asl', 'champion (no playoff)', '1st', '', ''], ['1936/37', 'n/a', 'asl', 'did not qualify', '5th', 'national', 'champion'], ['1937/38', 'n/a', 'asl', '1st round', '3rd(t)', 'national', ''], ['1938/39', 'n/a', 'asl', 'did not qualify', '4th', 'national', ''], ['1939/40', 'n/a', 'asl', 'no playoff', '4th', '', ''], ['1940/41', 'n/a', 'asl', 'no playoff', '6th', '', ''], ['1941/42', 'n/a', 'asl', 'no playoff', '3rd', '', ''], ['1942/43', 'n/a', 'asl', 'no playoff', '6th', '', ''], ['1943/44', 'n/a', 'asl', 'no playoff', '9th', '', ''], ['1944/45', 'n/a', 'asl', 'no playoff', '9th', '', ''], ['1945/46', 'n/a', 'asl', 'no playoff', '5th', '', ''], ['1946/47', 'n/a', 'asl', 'no playoff', '6th', '', ''], ['1947/48', 'n/a', 'asl', 'no playoff', '6th', '', ''], ['1948/49', 'n/a', 'asl', 'finals', '1st(t)', '', ''], ['1949/50', 'n/a', 'asl', 'no playoff', '3rd', '', ''], ['1950/51', 'n/a', 'asl', 'no playoff', '5th', '', ''], ['1951/52', 'n/a', 'asl', 'no playoff', '6th', '', ''], ['1952/53', 'n/a', 'asl', 'no playoff', '6th', '', 'semifinals'], ['1953/54', 'n/a', 'asl', 'champion (no playoff)', '1st', '', 'champion'], ['1954/55', 'n/a', 'asl', 'no playoff', '8th', '', ''], ['1955/56', 'n/a', 'asl', 'no playoff', '6th', '', '']]",27,7,189," ['reg_season', 'national_cup']",2,54
nu-3,"[['series__', 'season__', 'title', 'notes', 'original_air_date'], ['1', '1', '""the charity""', ""alfie, dee dee, and melanie are supposed to be helping their parents at a carnival by working the dunking booth. when goo arrives and announces their favorite basketball player, kendall gill, is at the comic book store signing autographs, the boys decide to ditch the carnival. this leaves melanie and jennifer to work the booth and both end up soaked. but the comic book store is packed and much to alfie and dee dee's surprise their father has to interview kendall gill. goo comes up with a plan to get alfie and dee dee, gill's signature before getting them back at the local carnival, but are caught by roger. all ends well for everyone except alfie and goo, who must endure being soaked at the dunking booth."", '1994-10-15'], ['2', '1', '""the practical joke war""', ""alfie and goo unleash harsh practical jokes on dee dee and his friends. dee dee, harry and donnel retaliate by pulling a practical joke on alfie with the trick gum. after alfie and goo get even with dee dee and his friends, melanie and deonne help them get even. soon, alfie and goo declare a practical joke war on melanie, dee dee and their friends. this eventually stops when roger and jennifer end up on the wrong end of the practical joke war after being announced as the winner of a magazine contest for best family of the year. they set their children straight for their behavior and will have a talk with their friends' parents as well."", '1994-10-22'], ['3', '1', '""the weekend aunt helen came""', ""the boy's mother, jennifer, leaves for the weekend and she leaves the father, roger, in charge. however, he lets the kids run wild. alfie and dee dee's aunt helen then comes to oversee the house until jennifer gets back. meanwhile, alfie throws a basketball at goo, which hits him in the head, giving him temporary amnesia. in this case of memory loss, goo acts like a nerd, does homework on a weekend, wants to be called milton instead of goo, and he even calls alfie alfred. he is much nicer to deonne and dee dee, but is somewhat rude to melanie. the only thing that will reverse this is another hit in the head."", '1994-11-01'], ['4', '1', '""robin hood play""', ""alfie's school is performing the play robin hood and alfie is chosen to play the part of robin hood. alfie is excited at this prospect, but he does not want to wear tights because he feels that tights are for girls. however, he reconsiders his stance on tights when dee dee wisely tells him not to let that affect his performance as robin hood."", '1994-11-09'], ['5', '1', '""basketball tryouts""', ""alfie tries out for the basketball team and doesn't make it even after showing off his basketball skills. however, harry, dee dee and donnell make the team. alfie is depressed and doesn't want to attend the celebration party. however, goo sets him straight by telling him it was his own fault for not being a team player and kept the ball to himself."", '1994-11-30'], ['6', '1', '""where\'s the snake?""', ""dee dee gets a snake, but he doesn't want his parents to know about it. however, things get complicated when he loses the snake in the house. meanwhile, melanie and deonne are assigned by their teacher to take care of her beloved pet rabbit, duchess for the weekend. this causes both alfie and dee dee to be concerned for duchess when they learn from goo that snakes eat rabbits."", '1994-12-06'], ['7', '1', '""dee dee\'s girlfriend""', 'a girl kisses dee dee in front of harry and donnell. they promise not to tell, but it slips and everyone laughs at dee dee. dee dee ends his friendship with harry and donnell and hangs out with alfie and goo. soon, alfie and goo finally get the three to talk to each other.', '1994-12-15'], ['8', '1', '""dee dee\'s haircut""', ""dee dee wants to get a hair cut by cool doctor money and have his name shaved in his head. his parents will not let him do this, but goo offers to do it for five dollars. however, when goo messes up dee dee's hair and spells his name wrong, his parents find out the truth and dee dee is forced to have his hair shaved off. in addition to that, his friends tease him about his bald head, causing a fight between the boys along with goo and alfie. in a b-story, alfie and goo try to play a practical joke on dee dee involving a jalapeño lollipop. it backfires when roger is the unwitting victim and it leads to him chasing the boys around."", '1994-12-20'], ['9', '1', '""dee dee runs away""', ""dee dee has been waiting to go to a monster truck show all week. but alfie and goo's baseball team makes it to the tournament and everyone forgets about the monster truck show. dee dee feels ignored and runs away from home with harry and donnell. it's up to alfie and goo to try and convince him to come home."", '1994-12-28'], ['10', '1', '\'""donnell\'s birthday party""', ""donnell is having a birthday party and brags about all the dancing and cool people who will be there. harry says that he knows how to dance so dee dee feels left out because he doesn't know how to dance. later on, harry admits to dee dee alone that he can't dance either and only lied so he doesn't get teased by donnell. so, they ask alfie to help them learn how to dance. he refuses to help because dee dee previously told on him to roger about his and goo's plans to cheat on their math quiz. alfie eventually agrees, after melanie threatens to refuse to help him with his math homework. soon dee dee and harry learn donnell's secret and were forced to teach him how to dance. after the party, dee dee tells alfie about it and finds out that he knew donnell was a liar."", '1995-01-05'], ['11', '1', '""alfie\'s birthday party""', ""goo and melanie pretend they are dating and they leave alfie out of everything. he ends up bored and starts hanging out with dee dee and his friends. however, it just isn't the same without goo. later on, alfie learns about the surprise birthday party that goo and melanie had been planning with everyone else (except for dee dee, who couldn't know since he would've told)."", '1995-01-19'], ['12', '1', '""candy sale""', ""alfie and goo are selling candy to make money for some expensive jackets, but they are not having any luck. however, when dee dee start helping them sell candy, they start to make money and asks him to help them out. soon goo and alfie finds themselves confronted by melanie, deonne, harry and donnell for dee dee's share of the money. they soon learn the boys have used the money to buy three expensive jackets for themselves and dee dee as a token of their gratitude. they quickly apologize to alfie and goo for their quick judgment."", '1995-01-26'], ['13', '1', '""the big bully""', ""dee dee gets beat up at school and his friends try to teach him how to fight back. goo, however, tells him to bluff, but the plan backfires and dee dee gets hit because of it. when alfie confronts the bully, he learns that dee dee was picked on by a girl. alfie and goo decide to confront her. however, when some of their classmates, who happen to be the girls' siblings, learn they are bullying their sister, they intervene."", '1995-02-02']]",13,5,65, ['original_air_date'],1,13
nu-4,"[['location', 'country', 'event', 'placing', 'rider', 'nationality', 'date', 'competition'], ['manchester', 'united kingdom', 'sprint', '1', 'victoria pendleton', 'gbr', '2008-10-31', '2008–09 world cup'], ['manchester', 'united kingdom', 'keirin', '2', 'jason kenny', 'gbr', '2008-10-31', '2008–09 world cup'], ['manchester', 'united kingdom', 'sprint', '1', 'jason kenny', 'gbr', '2008-11-01', '2008–09 world cup'], ['manchester', 'united kingdom', '500 m time trial', '1', 'victoria pendleton', 'gbr', '2008-11-01', '2008–09 world cup'], ['manchester', 'united kingdom', 'team sprint', '1', 'ross edgar', 'gbr', '2008-11-02', '2008–09 world cup'], ['manchester', 'united kingdom', 'team sprint', '1', 'jason kenny', 'gbr', '2008-11-02', '2008–09 world cup'], ['manchester', 'united kingdom', 'team sprint', '1', 'jamie staff', 'gbr', '2008-11-02', '2008–09 world cup'], ['manchester', 'united kingdom', 'keirin', '1', 'victoria pendleton', 'gbr', '2008-11-02', '2008–09 world cup'], ['manchester', 'united kingdom', 'international keirin', '2', 'ross edgar', 'gbr', '2008-11-02', '5th international keirin event'], ['copenhagen', 'denmark', 'team sprint', '1', 'chris hoy', 'gbr', '2009-02-13', '2008–09 world cup'], ['copenhagen', 'denmark', 'team sprint', '1', 'jason kenny', 'gbr', '2009-02-13', '2008–09 world cup'], ['copenhagen', 'denmark', 'team sprint', '1', 'jamie staff', 'gbr', '2009-02-13', '2008–09 world cup'], ['copenhagen', 'denmark', 'sprint', '1', 'victoria pendleton', 'gbr', '2009-02-13', '2008–09 world cup'], ['manchester', 'united kingdom', 'keirin', '1', 'chris hoy', 'gbr', '2009-10-30', '2009–10 world cup'], ['manchester', 'united kingdom', 'sprint', '1', 'victoria pendleton', 'gbr', '2009-10-30', '2009–10 world cup'], ['manchester', 'united kingdom', 'sprint', '1', 'chris hoy', 'gbr', '2009-10-30', '2009–10 world cup'], ['manchester', 'united kingdom', '500 m time trial', '2', 'victoria pendleton', 'gbr', '2009-10-30', '2009–10 world cup'], ['manchester', 'united kingdom', 'team sprint', '1', 'ross edgar', 'gbr', '2009-11-01', '2009–10 world cup'], ['manchester', 'united kingdom', 'team sprint', '1', 'chris hoy', 'gbr', '2009-11-01', '2009–10 world cup'], ['manchester', 'united kingdom', 'team sprint', '1', 'jamie staff', 'gbr', '2009-11-01', '2009–10 world cup']]",20,8,160," ['date', 'competition']",2,40
nu-5,"[['year', 'competition', 'venue', 'position', 'event', 'distance'], ['2000', 'world junior championships', 'santiago, chile', '1st', 'discus throw', '59.51'], ['2003', 'all-africa games', 'abuja, nigeria', '5th', 'shot put', '17.76'], ['2003', 'all-africa games', 'abuja, nigeria', '2nd', 'discus throw', '62.86'], ['2004', 'african championships', 'brazzaville, republic of the congo', '2nd', 'discus throw', '63.50'], ['2004', 'olympic games', 'athens, greece', '8th', 'discus throw', '62.58'], ['2006', 'commonwealth games', 'melbourne, australia', '7th', 'shot put', '18.44'], ['2006', 'commonwealth games', 'melbourne, australia', '4th', 'discus throw', '60.99'], ['2007', 'all-africa games', 'algiers, algeria', '3rd', 'discus throw', '57.79']]",8,6,48, ['notes'],1,8
nu-7,"[['game', 'day', 'kickoff', 'opponent', 'location', 'date', 'result_type', 'result_score', 'result_record', 'attendance'], ['1', 'sunday', '3:05pm', 'at las vegas legends', 'orleans arena', '2013-11-10', 'l', '3-7', '0-1', 1836], ['2', 'sunday', '1:05pm', 'monterrey flash', 'unisantos park', '2013-11-17', 'l', '6-10', '0-2', 363], ['3', 'saturday', '7:05pm', 'at bay area rosal', 'cabernet indoor sports', '2013-11-23', 'w', '10-7', '1-2', 652], ['4', 'sunday', '1:05pm', 'ontario fury', 'unisantos park', '2013-12-01', 'w', '18-4', '2-2', 207], ['5', 'saturday', '7:05pm', 'at sacramento surge', 'estadio azteca soccer arena', '2013-12-14', 'w', '7-6 (ot)', '3-2', 215], ['6', 'sunday', '6:00pm', 'at bay area rosal', 'cabernet indoor sports', '2013-12-15', 'l', '8-9 (ot)', '3-3', 480], ['7', 'sunday', '1:05pm', 'turlock express', 'unisantos park', '2013-12-22', 'w', '16-8', '4-3', 218], ['8', 'saturday', '7:05pm', 'at ontario fury', 'citizens business bank arena', '2014-01-04', 'l', '5-12', '4-4', 2653], ['9', 'sunday', '1:05pm', 'san diego sockers', 'unisantos park', '2014-01-05', 'l', '7-12', '4-5', 388], ['10', 'sunday', '1:05pm', 'las vegas legends', 'unisantos park', '2014-01-12', 'w', '10-7', '5-5', 343], ['11', 'sunday', '1:05pm', 'bay area rosal', 'unisantos park', '2014-01-19', 'w', '17-7', '6-5', 219], ['12', 'sunday', '1:05pm', 'sacramento surge', 'unisantos park', '2014-01-26', 'w', '20-6', '7-5', 224], ['13', 'saturday', '7:05pm', 'at san diego sockers', 'valley view casino center', '2014-02-01', 'l', '5-6', '7-6', 4954], ['14', 'friday', '7:05pm', 'at turlock express', 'turlock soccer complex', '2014-02-07', 'l', '6-9', '7-7', 673], ['15', 'saturday', '7:05pm', 'at sacramento surge', 'estadio azteca soccer arena', '2014-02-08', 'w', '10-6', '8-7', 323], ['16', 'saturday', '5:05pm', 'bay area rosal', 'unisantos park', '2014-02-15', 'w', '27-2', '9-7', 118]]",16,10,160," ['date', 'results_score', 'results_record', 'attendance']",4,64
nu-8,"[['kit_manufacturer', 'shirt_sponsor', 'back_of_shirt_sponsor', 'short_sponsor', 'start_year', 'end_year'], ['', 'national express', '', '', '1977', '1978'], ['umbro', '', '', '', '1982', '1985'], ['umbro', 'whitbread', '', '', '1985', '1986'], ['henson', 'duraflex', '', '', '1986', '1988'], ['', 'gulf oil', '', '', '1988', '1989'], ['technik', 'gulf oil', '', '', '1991', '1993'], ['club sport', 'gulf oil', '', '', '1993', '1994'], ['klūb sport', 'empress', '', '', '1994', '1995'], ['matchwinner', 'empress', '', '', '1995', '1996'], ['uk', 'endsleigh insurance', '', '', '1996', '1997'], ['errea', 'endsleigh insurance', '', '', '1997', '1999'], ['errea', 'towergate insurance', '', '', '1999', '2004'], ['errea', 'bence building merchants', '', '', '2004', '2008'], ['errea', 'mira showers', '', '', '2008', ''], ['errea', 'mira showers', 'psu technology group', '', '2009', '2011'], ['errea', 'mira showers', 'barr stadia', 'gloucestershire echo', '2011', '2013'], ['errea', 'mira showers', 'gloucestershire college', 'gloucestershire echo', '2013', '']]",17,6,102, ['year'],1,17
nu-9,"[['year', 'competition', 'venue', 'event', 'position', 'notes', 'notes_extract', 'notes_extract_2'], ['1999', 'european junior championships', 'riga, latvia', '400 m hurdles', '4th', '52.17', '', ''], ['2000', 'world junior championships', 'santiago, chile', '400 m hurdles', '1st', '49.23', '', ''], ['2001', 'world championships', 'edmonton, canada', '400 m hurdles', '18th (sf)', '49.80', 'sf', ''], ['2001', 'universiade', 'beijing, china', '400 m hurdles', '8th', '49.68', '', ''], ['2002', 'european indoor championships', 'vienna, austria', '400 m', '1st', '45.39 (cr, nr)', 'cr', 'nr'], ['2002', 'european indoor championships', 'vienna, austria', '4x400 m relay', '1st', '3:05.50 (cr)', 'cr', ''], ['2002', 'european championships', 'munich, germany', '400 m', '4th', '45.40', '', ''], ['2002', 'european championships', 'munich, germany', '4x400 m relay', '8th', 'dq', '', ''], ['2003', 'world indoor championships', 'birmingham, united kingdom', '400 m', '7th (sf)', '46.82', 'sf', ''], ['2003', 'world indoor championships', 'birmingham, united kingdom', '4x400 m relay', '3rd', '3:06.61', '', ''], ['2003', 'european u23 championships', 'bydgoszcz, poland', '400 m hurdles', '1st', '48.45', '', ''], ['2003', 'european u23 championships', 'bydgoszcz, poland', '4x400 m relay', '1st', '3:03.32', '', ''], ['2004', 'olympic games', 'athens, greece', '400 m hurdles', '6th', '49.00', '', ''], ['2004', 'olympic games', 'athens, greece', '4x400 m relay', '10th (h)', '3:03.69', 'h', ''], ['2006', 'european championships', 'gothenburg, sweden', '400 m hurdles', '2nd', '48.71', '', ''], ['2007', 'world championships', 'osaka, japan', '400 m hurdles', '3rd', '48.12 (nr)', 'nr', ''], ['2007', 'world championships', 'osaka, japan', '4x400 m relay', '3rd', '3:00.05', '', ''], ['2008', 'olympic games', 'beijing, china', '400 m hurdles', '6th', '48.42', '', ''], ['2008', 'olympic games', 'beijing, china', '4x400 m relay', '7th', '3:00.32', '', ''], ['2012', 'european championships', 'helsinki, finland', '400 m hurdles', '18th (sf)', '50.77', 'sf', '']]",20,8,160," ['position', 'notes']",2,40
nu-11,"[['league', 'fa_cup', 'league_cup', 'jp_trophy', 'total', 'Player', 'Goal Scored'], ['5', '0', '0', '0', '5', 'Scot Bennett', '0'], ['3', '0', '0', '0', '3', 'Danny Coles', '1'], ['1', '0', '0', '0', '1', 'Liam Sercombe', '0'], ['4', '0', '0', '0', '4', 'Alan Gow', '1'], ['11', '0', '1', '0', '12', ""John O'Flynn"", '0'], ['2', '0', '0', '0', '2', 'Guillem Bauza', '0'], ['3', '0', '0', '0', '3', 'Jimmy Keohane', '0'], ['1', '0', '0', '0', '1', 'Pat Baldwin', '0'], ['20', '0', '0', '0', '20', 'Jamie Cureton', '0'], ['3', '0', '0', '0', '3', 'Arron Davies', '0'], ['1', '0', '0', '0', '1', 'Jake Gosling', '0'], ['0', '0', '0', '0', '0', 'Own Goals', '0']]",12,7,84, ['name'],1,12
