id,question,gold_label,table_title,original_tab,norm_table
1-24560733-1.html.csv,the wildcats kept the opposing team scoreless in four games,1,1947 kentucky wildcats football team,"game | date | opponent | result | wildcats_points | opponents | record
1 | sept 20 | ole miss | loss | 7 | 14 | 0 - 1
2 | sept 27 | cincinnati | win | 20 | 0 | 1 - 1
3 | oct 4 | xavier | win | 20 | 7 | 2 - 1
4 | oct 11 | 9 georgia | win | 26 | 0 | 3 - 1 , 20
5 | oct 18 | 10 vanderbilt | win | 14 | 0 | 4 - 1 , 14
6 | oct 25 | michigan state | win | 7 | 6 | 5 - 1 , 13
7 | nov 1 | 18 alabama | loss | 0 | 13 | 5 - 2
8 | nov 8 | west virginia | win | 15 | 6 | 6 - 2
9 | nov 15 | evansville | win | 36 | 0 | 7 - 2
10 | nov 22 | tennessee | loss | 6 | 13 | 7 - 3","normalized_table = [['game', 'date', 'opponent', 'result', 'wildcats_points', 'opponents', 'record'],
['1', 'sept 20', 'ole miss', 'loss', '7', '14', '0 - 1'],
['2', 'sept 27', 'cincinnati', 'win', '20', '0', '1 - 1'],
['3', 'oct 4', 'xavier', 'win', '20', '7', '2 - 1'],
['4', 'oct 11', '9 georgia', 'win', '26', '0', '3 - 1 , 20'],
['5', 'oct 18', '10 vanderbilt', 'win', '14', '0', '4 - 1 , 14'],
['6', 'oct 25', 'michigan state', 'win', '7', '6', '5 - 1 , 13'],
['7', 'nov 1', '18 alabama', 'loss', '0', '13', '5 - 2'],
['8', 'nov 8', 'west virginia', 'win', '15', '6', '6 - 2'],
['9', 'nov 15', 'evansville', 'win', '36', '0', '7 - 2'],
['10', 'nov 22', 'tennessee', 'loss', '6', '13', '7 - 3']]"
1-25557880-1.html.csv,every team had several wins,0,césar ramos,"season | series | team | races | wins | poles | f___laps | podiums | points | position
2007 | formula renault 2 italy | bvm minardi team | 14 | 0 | 0 | 0 | 1 | 106 | 14th
2007 | eurocup formula renault 2 | bvm minardi team | 6 | 0 | 0 | 0 | 0 | n / a | nc
2007 | formula renault 2 italy - wi series | bvm minardi team | 4 | 4 | 4 | 4 | 4 | 144 | 1st
2008 | formula renault 2 italy | bvm minardi team | 14 | 0 | 1 | 2 | 4 | 216 | 6th
2008 | eurocup formula renault 2 | bvm minardi team | 14 | 0 | 0 | 0 | 1 | 38 | 7th
2009 | formula 3 euro series | manor motorsport | 16 | 0 | 0 | 0 | 0 | 0 | 25th
2009 | masters of formula 3 | manor motorsport | 1 | 0 | 0 | 0 | 0 | n / a | 28th
2010 | italian formula 3 championship | bvm - target racing | 16 | 3 | 2 | 7 | 8 | 161 | 1st
2011 | formula renault 3.5 series | s fortec motorsport | 17 | 0 | 2 | 0 | 0 | 47 | 11th","normalized_table = [
    [""season"", ""series"", ""team"", ""races"", ""wins"", ""poles"", ""f___laps"", ""podiums"", ""points"", ""position""],
    [""2007"", ""formula renault 2 italy"", ""bvm minardi team"", ""14"", ""0"", ""0"", ""0"", ""1"", ""106"", ""14th""],
    [""2007"", ""eurocup formula renault 2"", ""bvm minardi team"", ""6"", ""0"", ""0"", ""0"", ""0"", """", ""nc""],
    [""2007"", ""formula renault 2 italy - wi series"", ""bvm minardi team"", ""4"", ""4"", ""4"", ""4"", ""4"", ""144"", ""1st""],
    [""2008"", ""formula renault 2 italy"", ""bvm minardi team"", ""14"", ""0"", ""1"", ""2"", ""4"", ""216"", ""6th""],
    [""2008"", ""eurocup formula renault 2"", ""bvm minardi team"", ""14"", ""0"", ""0"", ""0"", ""1"", ""38"", ""7th""],
    [""2009"", ""formula 3 euro series"", ""manor motorsport"", ""16"", ""0"", ""0"", ""0"", ""0"", ""0"", ""25th""],
    [""2009"", ""masters of formula 3"", ""manor motorsport"", ""1"", ""0"", ""0"", ""0"", ""0"", """", ""28th""],
    [""2010"", ""italian formula 3 championship"", ""bvm - target racing"", ""16"", ""3"", ""2"", ""7"", ""8"", ""161"", ""1st""],
    [""2011"", ""formula renault 3.5 series"", ""s fortec motorsport"", ""17"", ""0"", ""2"", ""0"", ""0"", ""47"", ""11th""]
]"
2-16776506-2.html.csv,mirielle dittmann was the opponent in the final on hard surface on 6 february 2000 in wellington new zealand,1,leanne baker,"outcome | date | location | surface | opponent_in_final | score
winner | 1999-5-2 | coatzacoalcos , mexico | hard | candice jairala | 3 - 6 6 - 3 7 - 5
winner | 1999-7-11 | felixstowe , england | grass | karen nugent | 6 - 4 6 - 4
runner - up | 2000-2-6 | wellington , new zealand | hard | mirielle dittmann | 6 - 7 (5) 6 - 1 6 - 7 (5)
runner - up | 2000-5-28 | el paso , texas , usa | hard | erin burdette | 1 - 6 3 - 6
runner - up | 2003-9-14 | spoleto , italy | clay | lenka snajdrova | 4 - 6 3 - 6
winner | 2005-2-6 | wellington , new zealand | hard | mirielle dittmann | 2 - 6 6 - 1 6 - 1
winner | 2005-8-28 | jesi , italy | hard | vanessa pinto | 6 - 2 7 - 6 (6)
winner | 2006-2-5 | taupo , new zealand | hard | natsumi hamamura | 6 - 1 6 - 2
winner | 2006-2-12 | wellington , new zealand | hard | katerina kramperová | 6 - 4 1 - 6 6 - 0
winner | 2008-4-20 | mazatlán , mexico | hard | anna lubinsky | 6 - 2 6 - 1","normalized_table = [
    [""outcome"", ""date"", ""location"", ""surface"", ""opponent_in_final"", ""score_set1"", ""score_set2"", ""score_set3""],
    [""winner"", ""1999-05-02"", ""coatzacoalcos , mexico"", ""hard"", ""candice jairala"", 3, 6, 7],
    [""winner"", ""1999-07-11"", ""felixstowe , england"", ""grass"", ""karen nugent"", 6, 4, 6],
    [""runner-up"", ""2000-02-06"", ""wellington , new zealand"", ""hard"", ""mirielle dittmann"", 6, 7, 6],
    [""runner-up"", ""2000-05-28"", ""el paso , texas , usa"", ""hard"", ""erin burdette"", 1, 6, 3],
    [""runner-up"", ""2003-09-14"", ""spoleto , italy"", ""clay"", ""lenka snajdrova"", 4, 6, 3],
    [""winner"", ""2005-02-06"", ""wellington , new zealand"", ""hard"", ""mirielle dittmann"", 2, 6, 6],
    [""winner"", ""2005-08-28"", ""jesi , italy"", ""hard"", ""vanessa pinto"", 6, 2, 7],
    [""winner"", ""2006-02-05"", ""taupo , new zealand"", ""hard"", ""natsumi hamamura"", 6, 1, 6],
    [""winner"", ""2006-02-12"", ""wellington , new zealand"", ""hard"", ""katerina kramperová"", 6, 4, 6],
    [""winner"", ""2008-04-20"", ""mazatlán , mexico"", ""hard"", ""anna lubinsky"", 6, 2, 6]
]"
2-14175075-5.html.csv,cedar rapids is the site with the earliest date,1,iowa corn cy - hawk series,"date | site | sport | winning_team | series
2007-9-4 | cedar rapids | m golf | iowa state | iowa state 2 - 0
2007-9-8 | des moines | volleyball | iowa state | iowa state 4 - 0
2007-9-9 | iowa city | w soccer | tie | iowa state 5 - 1
2007-9-15 | ames | football | iowa state | iowa state 8 - 1
2007-11-10 | peoria | m cross country | iowa state | iowa state 10 - 1
2007-11-10 | peoria | w cross country | iowa | iowa state 10 - 3
2007-12-5 | ames | w basketball | iowa state | iowa state 12 - 3
2007-12-7 | ames | w swimming | iowa state | iowa state 14 - 3
2007-12-8 | ames | m basketball | iowa state | iowa state 16 - 3
2007-12-9 | ames | wrestling | iowa | iowa state 16 - 5
2008-2-22 | ames | w gymnastics | iowa state | iowa state 18 - 5
2008-3-7 | iowa city | w gymnastics | iowa | iowa state 18 - 7
2008-4-1 | ames | softball | iowa | iowa state 18 - 9","normalized_table = [['date', 'site', 'sport', 'winning_team', 'series_wins', 'series_losses'],
 ['2007-9-4', 'cedar rapids', 'm golf', 'iowa state', 2, 0],
 ['2007-9-8', 'des moines', 'volleyball', 'iowa state', 4, 0],
 ['2007-9-9', 'iowa city', 'w soccer', 'tie', 5, 1],
 ['2007-9-15', 'ames', 'football', 'iowa state', 8, 1],
 ['2007-11-10', 'peoria', 'm cross country', 'iowa state', 10, 1],
 ['2007-11-10', 'peoria', 'w cross country', 'iowa', 10, 3],
 ['2007-12-5', 'ames', 'w basketball', 'iowa state', 12, 3],
 ['2007-12-7', 'ames', 'w swimming', 'iowa state', 14, 3],
 ['2007-12-8', 'ames', 'm basketball', 'iowa state', 16, 3],
 ['2007-12-9', 'ames', 'wrestling', 'iowa', 16, 5],
 ['2008-2-22', 'ames', 'w gymnastics', 'iowa state', 18, 5],
 ['2008-3-7', 'iowa city', 'w gymnastics', 'iowa', 18, 7],
 ['2008-4-1', 'ames', 'softball', 'iowa', 18, 9]]"
2-11512626-6.html.csv,"in a game on august 30 , mohler (1 - 10) took the loss while in a game on august 31 oquist (2 - 5) suffered the loss",1,1997 colorado rockies season,"date | opponent | score | loss | attendance | record
august 1 | pirates | 7 - 6 | rincón (4 - 5) | 22657 | 52 - 58
august 2 | pirates | 6 - 5 | swift (4 - 5) | 32388 | 52 - 59
august 3 | pirates | 8 - 4 | reed (3 - 5) | 24989 | 52 - 60
august 4 | phillies | 7 - 3 | castillo (8 - 10) | 15230 | 52 - 61
august 5 | phillies | 4 - 2 | bottalico (2 - 4) | 16428 | 53 - 61
august 6 | mets | 4 - 0 | mlicki (5 - 8) | 26633 | 54 - 61
august 7 | mets | 12 - 4 | swift (4 - 6) | 29536 | 54 - 62
august 8 | pirates | 5 - 3 | lieber (6 - 12) | 48262 | 55 - 62
august 9 | pirates | 8 - 7 | rincón (4 - 6) | 48323 | 56 - 62
august 10 | pirates | 8 - 7 | wilkins (7 - 3) | 48018 | 57 - 62
august 12 | phillies | 5 - 0 | thomson (4 - 7) | 48228 | 57 - 63
august 13 | phillies | 12 - 8 | wright (6 - 8) | 48491 | 57 - 64
august 15 | mets | 6 - 2 | reed (10 - 6) | 48308 | 58 - 64
august 16 | mets | 7 - 5 | mcmichael (7 - 10) | 48311 | 59 - 64
august 17 | mets | 6 - 4 | mlicki (5 - 10) | 48440 | 60 - 64
august 19 | reds | 6 - 5 | wright (6 - 9) | 31722 | 60 - 65
august 20 | reds | 5 - 3 | white (1 - 1) | 21968 | 61 - 65
august 21 | astros | 10 - 4 | bailey (9 - 9) | 22962 | 61 - 66
august 22 | astros | 9 - 1 | thomson (5 - 8) | 33061 | 61 - 67
august 23 | astros | 6 - 3 | hudek (0 - 2) | 32374 | 62 - 67
august 24 | astros | 3 - 1 | wright (6 - 10) | 28918 | 62 - 68
august 25 | reds | 7 - 6 | castillo (10 - 11) | 48143 | 62 - 69
august 25 | reds | 6 - 4 | hutton (3 - 2) | 48081 | 62 - 70
august 26 | reds | 9 - 5 | martínez (1 - 1) | 48063 | 63 - 70
august 27 | reds | 7 - 5 | remlinger (6 - 6) | 48032 | 64 - 70
august 28 | mariners | 9 - 5 | olivares (6 - 9) | 48422 | 65 - 70
august 29 | mariners | 6 - 5 | timlin (3 - 3) | 48178 | 66 - 70
august 30 | athletics | 4 - 3 | mohler (1 - 10) | 48308 | 67 - 70
august 31 | athletics | 10 - 4 | oquist (2 - 5) | 48041 | 68 - 70","normalized_table = [['date', 'opponent', 'score', 'loss', 'attendance', 'record'],
['1997-08-01', 'Pirates', '7 - 6', 'Rincón (4 - 5)', 22657, '52 - 58'],
['1997-08-02', 'Pirates', '6 - 5', 'Swift (4 - 5)', 32388, '52 - 59'],
['1997-08-03', 'Pirates', '8 - 4', 'Reed (3 - 5)', 24989, '52 - 60'],
['1997-08-04', 'Phillies', '7 - 3', 'Castillo (8 - 10)', 15230, '52 - 61'],
['1997-08-05', 'Phillies', '4 - 2', 'Bottalico (2 - 4)', 16428, '53 - 61'],
['1997-08-06', 'Mets', '4 - 0', 'Mlicki (5 - 8)', 26633, '54 - 61'],
['1997-08-07', 'Mets', '12 - 4', 'Swift (4 - 6)', 29536, '54 - 62'],
['1997-08-08', 'Pirates', '5 - 3', 'Lieber (6 - 12)', 48262, '55 - 62'],
['1997-08-09', 'Pirates', '8 - 7', 'Rincón (4 - 6)', 48323, '56 - 62'],
['1997-08-10', 'Pirates', '8 - 7', 'Wilkins (7 - 3)', 48018, '57 - 62'],
['1997-08-12', 'Phillies', '5 - 0', 'Thomson (4 - 7)', 48228, '57 - 63'],
['1997-08-13', 'Phillies', '12 - 8', 'Wright (6 - 8)', 48491, '57 - 64'],
['1997-08-15', 'Mets', '6 - 2', 'Reed (10 - 6)', 48308, '58 - 64'],
['1997-08-16', 'Mets', '7 - 5', 'Mcmichael (7 - 10)', 48311, '59 - 64'],
['1997-08-17', 'Mets', '6 - 4', 'Mlicki (5 - 10)', 48440, '60 - 64'],
['1997-08-19', 'Reds', '6 - 5', 'Wright (6 - 9)', 31722, '60 - 65'],
['1997-08-20', 'Reds', '5 - 3', 'White (1 - 1)', 21968, '61 - 65'],
['1997-08-21', 'Astros', '10 - 4', 'Bailey (9 - 9)', 22962, '61 - 66'],
['1997-08-22', 'Astros', '9 - 1', 'Thomson (5 - 8)', 33061, '61 - 67'],
['1997-08-23', 'Astros', '6 - 3', 'Hudek (0 - 2)', 32374, '62 - 67'],
['1997-08-24', 'Astros', '3 - 1', 'Wright (6 - 10)', 28918, '62 - 68'],
['1997-08-25', 'Reds', '7 - 6', 'Castillo (10 - 11)', 48143, '62 - 69'],
['1997-08-25', 'Reds', '6 - 4', 'Hutton (3 - 2)', 48081, '62 - 70'],
['1997-08-26', 'Reds', '9 - 5', 'Martínez (1 - 1)', 48063, '63 - 70'],
['1997-08-27', 'Reds', '7 - 5', 'Remlinger (6 - 6)', 48032, '64 - 70'],
['1997-08-28', 'Mariners', '9 - 5', 'Olivares (6 - 9)', 48422, '65 - 70'],
['1997-08-29', 'Mariners', '6 - 5', 'Timlin (3 - 3)', 48178, '66 - 70'],
['1997-08-30', 'Athletics', '4 - 3', 'Mohler (1 - 10)', 48308, '67 - 70'],
['1997-08-31', 'Athletics', '10 - 4', 'Oquist (2 - 5)', 48041, '68 - 70']]"
2-12523044-5.html.csv,steve stricker had a score lower than phil mickelson,1,2006 u.s. open (golf),"place | player | country | score | to_par
1 | steve stricker | united states | 70 + 69 = 139 | -1
2 | colin montgomerie | scotland | 69 + 71 = 140 | e
t3 | kenneth ferrie | england | 71 + 70 = 141 | + 1
t3 | geoff ogilvy | australia | 71 + 70 = 141 | + 1
t5 | jim furyk | united states | 70 + 72 = 142 | + 2
t5 | pádraig harrington | ireland | 70 + 72 = 142 | + 2
t7 | jason dufner | united states | 72 + 71 = 143 | + 3
t7 | graeme mcdowell | northern ireland | 71 + 72 = 143 | + 3
t7 | phil mickelson | united states | 70 + 73 = 143 | + 3
t7 | arron oberholser | united states | 75 + 68 = 143 | + 3","normalized_table = [
    [""place"", ""player"", ""country"", ""score_1"", ""score_2"", ""to_par""],
    [1, ""steve stricker"", ""united states"", 70, 69, -1],
    [2, ""colin montgomerie"", ""scotland"", 69, 71, 0],
    [""t3"", ""kenneth ferrie"", ""england"", 71, 70, 1],
    [""t3"", ""geoff ogilvy"", ""australia"", 71, 70, 1],
    [5, ""jim furyk"", ""united states"", 70, 72, 2],
    [5, ""pádraig harrington"", ""ireland"", 70, 72, 2],
    [7, ""jason dufner"", ""united states"", 72, 71, 3],
    [7, ""graeme mcdowell"", ""northern ireland"", 71, 72, 3],
    [7, ""phil mickelson"", ""united states"", 70, 73, 3],
    [7, ""arron oberholser"", ""united states"", 75, 68, 3]
]"
2-10301911-2.html.csv,brian finch rank is greater than 3 and he finished with a time of 2:14.59.0,1,1970 isle of man tt,"rank | rider | team | speed | time
1 | frank whiteway | suzuki | 89.94 mph | 2:5.52.0
2 | gordon pantall | triumph | 88.9 mph | 2:7.20.0
3 | ray knight | triumph | 88.89 mph | 2:7.20.4
4 | rbaylie | triumph | 87.58 mph | 2:9.15.0
5 | graham penny | triumph | 86.7 mph | 2:10.34.4
6 | jwade | suzuki | 85.31 mph | 2:12.42.0
7 | brian finch | velocette | 83.86 mph | 2:14.59.0","normalized_table = [
    [""rank"", ""rider"", ""team"", ""speed_mph"", ""time""],
    [1, ""frank whiteway"", ""suzuki"", 89.94, ""2:5.52.0""],
    [2, ""gordon pantall"", ""triumph"", 88.9, ""2:7.20.0""],
    [3, ""ray knight"", ""triumph"", 88.89, ""2:7.20.4""],
    [4, ""rbaylie"", ""triumph"", 87.58, ""2:9.15.0""],
    [5, ""graham penny"", ""triumph"", 86.7, ""2:10.34.4""],
    [6, ""jwade"", ""suzuki"", 85.31, ""2:12.42.0""],
    [7, ""brian finch"", ""velocette"", 83.86, ""2:14.59.0""]
]"
2-15547694-1.html.csv,the agricultural panel and labour panel both have 11 total members,1,members of the 5th seanad,"party | administrative_panel | agricultural_panel | cultural_and_educational_panel | industrial_and_commercial_panel | labour_panel | national_university_of_ireland | university_of_dublin | nominated_by_the_taoiseach | total
fianna fáil | 4 | 4 | 2 | 3 | 0 | 1 | 0 | 7 | 21
fine gael | 1 | 3 | 2 | 2 | 0 | 1 | 0 | 0 | 9
labour party | 0 | 0 | 0 | 1 | 5 | 0 | 0 | 2 | 8
clann na talmhan | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 3
independent | 0 | 1 | 0 | 1 | 0 | 1 | 3 | 3 | 9
total | 7 | 11 | 5 | 9 | 11 | 3 | 3 | 11 | 60","normalized_table = [
    ['party', 'panel_type', 'panel_count', 'nominated_by', 'total'],
    ['fianna fáil', 'administrative_panel', 4, 'nominated_by_the_taoiseach', 21],
    ['fianna fáil', 'agricultural_panel', 4, 'nominated_by_the_taoiseach', 21],
    ['fianna fáil', 'cultural_and_educational_panel', 2, 'nominated_by_the_taoiseach', 21],
    ['fianna fáil', 'industrial_and_commercial_panel', 3, 'nominated_by_the_taoiseach', 21],
    ['fine gael', 'administrative_panel', 1, 'nominated_by_the_taoiseach', 9],
    ['fine gael', 'agricultural_panel', 3, 'nominated_by_the_taoiseach', 9],
    ['fine gael', 'cultural_and_educational_panel', 2, 'nominated_by_the_taoiseach', 9],
    ['fine gael', 'industrial_and_commercial_panel', 2, 'nominated_by_the_taoiseach', 9],
    ['labour party', 'industrial_and_commercial_panel', 1, 'nominated_by_the_taoiseach', 8],
    ['labour party', 'labour_panel', 5, 'nominated_by_the_taoiseach', 8],
    ['labour party', 'nominated_by_the_taoiseach', 2, 'nominated_by_the_taoiseach', 8],
    ['clann na talmhan', 'agricultural_panel', 2, 'nominated_by_the_taoiseach', 3],
    ['clann na talmhan', 'industrial_and_commercial_panel', 1, 'nominated_by_the_taoiseach', 3],
    ['independent', 'agricultural_panel', 1, 'university_of_dublin', 9],
    ['independent', 'industrial_and_commercial_panel', 1, 'university_of_dublin', 9],
    ['independent', 'national_university_of_ireland', 1, 'nominated_by_the_taoiseach', 9],
    ['independent', 'university_of_dublin', 3, 'nominated_by_the_taoiseach', 9]
]"
2-15214004-2.html.csv,joe germanese was the 27th pick,1,2008 mls superdraft,"pick | mls_team | player | position | affiliation
15 | san jose earthquakes | shea salinas | m | furman carolina dynamo
16 | new york red bulls | eric brunner | d | ohio state michigan bucks
17 | real salt lake | alex nimo | f | generation adidas
18 | new england revolution | michael videira | m | duke cary railhawks u23 's
19 | fc dallas | eric avila | m | uc santa barbara ventura county fusion
20 | columbus crew | george josten | m / f | gonzaga michigan bucks
21 | los angeles galaxy | ely allen | f / m | washington
22 | columbus crew | ricardo pierre - louis | f | lee university cape cod crusaders
23 | kansas city wizards | yomby william | d | old dominion hampton roads piranhas
24 | dc united | andrew jacobson | m | california
25 | kansas city wizards | jonathan leathers | d | furman atlanta silverbacks u23 's
26 | chicago fire | peter lowry | m / f | santa clara san jose frogs
27 | new england revolution | joe germanese | m | duke cary railhawks u23 's
28 | toronto fc | brian edwards | gk | wake forest","normalized_table = [
    [""pick"", ""mls_team"", ""player"", ""position"", ""affiliation""],
    [15, ""san jose earthquakes"", ""shea salinas"", ""m"", ""furman carolina dynamo""],
    [16, ""new york red bulls"", ""eric brunner"", ""d"", ""ohio state michigan bucks""],
    [17, ""real salt lake"", ""alex nimo"", ""f"", ""generation adidas""],
    [18, ""new england revolution"", ""michael videira"", ""m"", ""duke cary railhawks u23 's""],
    [19, ""fc dallas"", ""eric avila"", ""m"", ""uc santa barbara ventura county fusion""],
    [20, ""columbus crew"", ""george josten"", ""m / f"", ""gonzaga michigan bucks""],
    [21, ""los angeles galaxy"", ""ely allen"", ""f / m"", ""washington""],
    [22, ""columbus crew"", ""ricardo pierre - louis"", ""f"", ""lee university cape cod crusaders""],
    [23, ""kansas city wizards"", ""yomby william"", ""d"", ""old dominion hampton roads piranhas""],
    [24, ""dc united"", ""andrew jacobson"", ""m"", ""california""],
    [25, ""kansas city wizards"", ""jonathan leathers"", ""d"", ""furman atlanta silverbacks u23 's""],
    [26, ""chicago fire"", ""peter lowry"", ""m / f"", ""santa clara san jose frogs""],
    [27, ""new england revolution"", ""joe germanese"", ""m"", ""duke cary railhawks u23 's""],
    [28, ""toronto fc"", ""brian edwards"", ""gk"", ""wake forest""]
]"
1-25277363-2.html.csv,bob sand wrote episode 149,1,full house (season 7),"no_in_series | no_in_season | title | directed_by | written_by | original_air_date
145 | 1 | it was a dark and stormy tni | john tracy | marc warren & dennis rinsler | 1993-9-14
146 | 2 | the apartment | john tracy | tom burkhard | 1993-9-21
147 | 3 | wrong - way tanner | john tracy | jamie tatham & chuck tatham | 1993-9-28
148 | 4 | tough love | joel zwick | ellen guylas | 1993-10-5
149 | 5 | fast friends | john tracy | bob sand | 1993-10-12
150 | 6 | smash club : the next generation | john tracy | carolyn omine | 1993-10-19
151 | 7 | high anxiety | john tracy | tom amundsen | 1993-10-26
152 | 8 | another opening , another no show | joel zwick | story by : elias davis teleplay by : tom burkhard | 1993-11-2
153 | 9 | 2024-4-16 of the rhino | james o'keefe | adam i lapidus | 1993-11-9
154 | 10 | the prying game | john tracy | ellen guylas | 1993-11-16
155 | 11 | the bicycle thief | john tracy | chuck tatham & jamie tatham | 1993-11-23
156 | 12 | support your local parents | james o'keefe | bob sand | 1993-11-30
157 | 13 | the perfect couple | john tracy | marc warren & dennis rinsler | 1993-12-14
158 | 14 | is it true about stephanie | joel zwick | carolyn omine | 1994-1-4
159 | 15 | the test | john tracy | dan chasin & linda lane | 1994-1-11
160 | 16 | joey 's funny valentine | john tracy | adam i lapidus | 1994-1-25
161 | 17 | the last dance | john tracy | tom amundsen | 1994-2-8
162 | 18 | kissing cousins | john tracy | tom burkhard | 1994-2-15
163 | 19 | love on the rocks | tom rickard | ellen guylas | 1994-3-1","normalized_table = [
    [""no_in_series"", ""no_in_season"", ""title"", ""directed_by"", ""written_by"", ""original_air_date""],
    [145, 1, ""it was a dark and stormy tni"", ""john tracy"", ""marc warren & dennis rinsler"", ""1993-09-14""],
    [146, 2, ""the apartment"", ""john tracy"", ""tom burkhard"", ""1993-09-21""],
    [147, 3, ""wrong - way tanner"", ""john tracy"", ""jamie tatham & chuck tatham"", ""1993-09-28""],
    [148, 4, ""tough love"", ""joel zwick"", ""ellen guylas"", ""1993-10-05""],
    [149, 5, ""fast friends"", ""john tracy"", ""bob sand"", ""1993-10-12""],
    [150, 6, ""smash club : the next generation"", ""john tracy"", ""carolyn omine"", ""1993-10-19""],
    [151, 7, ""high anxiety"", ""john tracy"", ""tom amundsen"", ""1993-10-26""],
    [152, 8, ""another opening , another no show"", ""joel zwick"", ""story by : elias davis teleplay by : tom burkhard"", ""1993-11-02""],
    [153, 9, ""2024-4-16 of the rhino"", ""james o'keefe"", ""adam i lapidus"", ""1993-11-09""],
    [154, 10, ""the prying game"", ""john tracy"", ""ellen guylas"", ""1993-11-16""],
    [155, 11, ""the bicycle thief"", ""john tracy"", ""chuck tatham & jamie tatham"", ""1993-11-23""],
    [156, 12, ""support your local parents"", ""james o'keefe"", ""bob sand"", ""1993-11-30""],
    [157, 13, ""the perfect couple"", ""john tracy"", ""marc warren & dennis rinsler"", ""1993-12-14""],
    [158, 14, ""is it true about stephanie"", ""joel zwick"", ""carolyn omine"", ""1994-01-04""],
    [159, 15, ""the test"", ""john tracy"", ""dan chasin & linda lane"", ""1994-01-11""],
    [160, 16, ""joey 's funny valentine"", ""john tracy"", ""adam i lapidus"", ""1994-01-25""],
    [161, 17, ""the last dance"", ""john tracy"", ""tom amundsen"", ""1994-02-08""],
    [162, 18, ""kissing cousins"", ""john tracy"", ""tom burkhard"", ""1994-02-15""],
    [163, 19, ""love on the rocks"", ""tom rickard"", ""ellen guylas"", ""1994-03-01""]
]"
